,GTI,Base,Reform,Difference
1,"Rs. $57,254.00       - $282,663.00    ",0.0,0.0,0.0
2,"Rs. $282,663.00      - $349,672.00    ",309.8403467437503,0.0,-309.8403467437503
3,"Rs. $349,672.00      - $386,826.00    ",4015.884112587377,0.0,-4015.884112587377
4,"Rs. $386,826.00      - $456,093.00    ",6235.207505968227,0.0,-6235.207505968227
5,"Rs. $456,093.00      - $541,694.00    ",8224.046192613452,341.31574307999927,-7882.730449533452
6,"Rs. $541,694.00      - $639,666.00    ",16485.950170033313,6196.759218031206,-10289.190952002104
7,"Rs. $639,666.00      - $785,866.00    ",26877.78210200089,15251.86539431361,-11625.916707687276
8,"Rs. $785,866.00      - $1,016,588.00  ",61890.318142551216,49751.195017721635,-12139.1231248296
9,"Rs. $1,016,588.00    - $1,379,238.00  ",134451.13283022592,123016.48363440283,-11434.649195823044
10,"Rs. $1,379,238.00    - $3,049,900.00  ",355650.1356702895,347403.0496088361,-8247.08606145349
