FILING_SEQ_NO,AGEGRP,SALARIES,INCOME_HP,Income_BP,TOTAL_INCOME_OS,Aggregate_Income,TI_special_rates,tax_TI_special_rates,GTI,TTI,pitax
328228799,0,1744592,-36381,0,0,1556913,0,0,1708211,1556913,300836
327959593,1,0,0,0,187228,183404,0,0,187228,183404,0
316543975,0,639667,-108000,0,117830,499497,0,0,649497,499497,20548
342873687,0,429920,0,0,29351,298805,0,0,459271,298805,0
334803654,0,333500,0,0,5230,294700,0,0,338730,294700,0
280077364,0,0,0,0,248348,247500,0,0,248348,247500,0
304172877,0,775402,-60128,0,0,565274,0,0,715274,565274,39196
300871989,0,0,0,0,418019,326408,0,0,418019,326408,2720
282796067,0,438576,0,0,0,358146,0,0,438576,358146,5989
287261011,0,939596,0,0,51185,825781,0,0,990781,825781,92861
299001469,0,702532,0,0,2589,630428,0,0,705121,630428,52618
321019025,0,362397,0,0,0,315488,0,0,362397,315488,1595
337635044,0,438927,-137601,0,0,254367,0,0,301326,254367,0
294004415,0,262080,-45000,0,24845,241925,0,0,241925,241925,0
325770672,0,0,84000,0,157782,235812,0,0,241782,235812,0
284730712,0,0,0,0,485686,331186,0,0,485686,331186,3212
329352035,1,0,0,0,467782,460816,0,0,467782,460816,11414
275635940,0,414320,0,0,19506,274790,0,0,433826,274790,0
275246191,0,0,0,0,240150,240150,0,0,240150,240150,0
269765558,0,501062,0,0,3906,342293,0,0,504968,342293,4356
277438908,0,900437,0,0,0,715717,0,0,900437,715717,70188
276728264,0,1828537,0,0,35301,1706374,0,0,1863838,1706374,347020
339647341,1,1067383,0,0,0,1000251,0,0,1067383,1000251,123678
307107911,1,2222516,0,0,0,2072516,0,0,2222516,2072516,455007
324860894,0,1116610,0,0,54000,1099010,0,0,1170610,1099010,159344
275638313,0,830203,-92863,0,0,587340,0,0,737340,587340,43742
293505098,0,660956,-111772,0,0,399184,0,0,549184,399184,10216
327892511,0,115000,0,0,192056,228878,0,0,307056,228878,0
282865021,0,1656256,0,0,0,1506256,0,0,1656256,1506256,285183
337125160,0,120000,0,0,9175,129000,0,0,129175,129000,0
282416815,0,851676,-200000,0,37708,499384,0,0,689384,499384,20537
294386811,0,281048,0,0,0,260251,0,0,281048,260251,0
338763539,0,279600,0,0,1930,255100,0,0,281530,255100,0
292525061,0,514812,0,0,0,293312,0,0,514812,293312,0
299762613,1,0,0,0,457700,447780,0,0,457700,447780,10071
284028226,0,666547,-3252,0,0,505295,0,0,663295,505295,26841
286102193,0,1093565,0,0,0,908274,0,0,1093565,908274,109854
336923804,0,0,343637,0,12231,352900,0,0,355868,352900,5449
280370173,0,980000,0,0,23578,883666,0,0,1003578,883666,104785
279150712,0,582960,-116382,0,35056,381098,0,0,501634,381098,8353
297167180,0,548119,0,0,2737,436233,0,0,550856,436233,14032
289946658,0,613998,0,0,0,492593,0,0,613998,492593,19837
287203528,0,0,97649,0,89204,14291,0,0,186853,14291,0
295361756,0,362171,-77997,0,15807,230965,0,0,299981,230965,0
289425755,0,1008933,0,0,0,777368,0,0,1008933,777368,82888
291911510,0,2647647,-110993,0,0,2386654,0,0,2536654,2386654,557226
311299463,0,1091230,0,0,1338,1047338,0,0,1092568,1047338,143377
335481524,0,857876,-200000,0,0,507876,0,0,657876,507876,27372
275655816,0,661693,0,0,0,504218,0,0,661693,504218,26619
294745576,0,414074,0,0,0,365387,0,0,414074,365387,6735
299657417,0,534563,0,0,0,391404,0,0,534563,391404,9415
282550473,0,1516464,0,0,0,1309224,0,0,1516464,1309224,224300
270633160,0,702421,0,0,10670,547692,0,0,713091,547692,35575
301295907,0,1130473,0,0,0,975258,0,0,1130473,975258,123653
278611498,1,313283,0,0,141600,348373,0,0,454883,348373,0
273666011,0,581618,-110000,0,0,321618,0,0,471618,321618,2227
293210231,0,504000,0,0,2645,346604,0,0,506645,346604,4800
298524863,0,285600,-94464,0,111922,296682,0,0,303058,296682,0
278347107,0,0,63000,0,168033,225533,0,0,231033,225533,0
296262768,0,464645,0,0,14093,295448,0,0,478738,295448,0
274569558,0,840185,-200000,0,0,498255,0,0,640185,498255,20420
318127905,0,647702,0,0,3777,556334,0,0,651479,556334,37355
275723717,0,0,0,0,234006,234006,0,0,234006,234006,0
277335260,0,339098,0,0,0,310424,0,0,339098,310424,1074
337445502,0,260000,0,0,10000,258772,0,0,270000,258772,0
296138386,0,942487,-167634,0,0,613156,0,0,774853,613156,49060
283245617,0,658407,-120560,0,1194,425725,0,0,539041,425725,12950
321473981,0,0,0,0,315302,303916,0,0,315302,303916,403
331154267,0,570420,0,0,2746,420420,0,0,573166,420420,12403
288103073,0,731378,0,0,79247,598997,0,0,810625,598997,46143
276201680,0,371819,0,0,16143,237962,0,0,387962,237962,0
324598472,0,913864,-143805,0,0,620059,0,0,770059,620059,50482
299653855,0,461691,0,0,0,390291,0,0,461691,390291,9300
296119670,0,1502035,-200000,0,0,1069688,0,0,1302035,1069688,150284
321259321,0,313800,0,0,36391,299193,0,0,350191,299193,0
279713871,0,362160,-141144,0,2536,71016,0,0,223552,71016,0
268711886,0,620209,0,0,0,345209,0,0,620209,345209,4657
290039096,0,1077515,-139754,0,0,787761,0,0,937761,787761,85029
323010840,0,307315,0,0,0,298315,0,0,307315,298315,0
332296115,0,360000,0,0,0,210000,0,0,360000,210000,0
325459942,0,0,295680,0,149680,363300,0,0,445360,363300,6520
321218741,0,479508,-72000,0,0,376929,0,0,407508,376929,7924
277724146,0,378268,0,0,269,298768,0,0,378537,298768,0
286493529,0,927146,0,0,0,717146,0,0,927146,717146,70482
332443612,0,2142620,0,0,0,1992620,0,0,2142620,1992620,435470
295670623,0,958829,0,0,289471,1177300,0,0,1248300,1177300,183536
