AGEGRP,AYEAR,GTI,RECID,TTI,deductions,net_rent,net_salary,other_income,pitax,weight
0,2017,230000,1,230000,0,0,230000,0,0,6620000
0,2017,281000,2,281000,0,0,281000,0,1550,6620000
0,2017,301000,3,301000,0,0,301000,0,2550,6620000
0,2017,329000,4,329000,0,0,329000,0,3950,6620000
0,2017,373000,5,373000,0,0,373000,0,6150,6620000
0,2017,450000,6,450000,0,0,450000,0,10000,6620000
0,2017,492000,7,492000,0,0,492000,0,12100,6620000
0,2017,654000,8,654000,0,0,654000,0,43300,6620000
1,2017,682000,9,682000,0,0,682000,0,46400,6620000
2,2017,2269000,10,2269000,0,0,2269000,0,480700,6620000
