GTI2017,citax2017,GTI2018,citax2018
1743795,538833,1743795,538833
16988024,5616750,16988024,5616750
0,0,0,0
46961,14511,46961,14511
728142,224996,728142,224996
431409859,20054437,431409859,20054437
6011706,1857617,6011706,1857617
7974,2464,7974,2464
5914215,1827492,5914215,1827492
67914,20985,67914,20985
0,0,0,0
913524,282279,913524,282279
34893,10782,34893,10782
0,0,0,0
38399953,12663113,38399953,12663113
0,0,0,0
1447433,447257,1447433,447257
649978,200843,649978,200843
463697,143282,463697,143282
0,0,0,0
3861,1193,3861,1193
18384,5681,18384,5681
0,0,0,0
18555,5733,18555,5733
0,0,0,0
0,0,0,0
0,0,0,0
2088319,645291,2088319,645291
0,0,0,0
18097792,5886964,18097792,5886964
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
2640,816,2640,816
9897868,3054579,9897868,3054579
42862935,9718025,42862935,9718025
6060,1873,6060,1873
67806,20952,67806,20952
1168207,360976,1168207,360976
67453,20843,67453,20843
728262,225033,728262,225033
0,0,0,0
20088,6207,20088,6207
0,0,0,0
0,0,0,0
82161,25388,82161,25388
0,0,0,0
0,0,0,0
235939,72905,235939,72905
48744971,16116550,48744971,16116550
1859813,574682,1859813,574682
414653,128128,414653,128128
9785075,3023588,9785075,3023588
0,0,0,0
0,0,0,0
2105792,650690,2105792,650690
0,0,0,0
0,0,0,0
40513,12519,40513,12519
64640730,21372165,64640730,21372165
0,0,0,0
83813821,27711364,83813821,27711364
0,0,0,0
13467970,4452915,13467970,4452915
0,0,0,0
460029,142149,460029,142149
0,0,0,0
8338,2576,8338,2576
0,0,0,0
768309,237408,768309,237408
1123946,347299,1123946,347299
1159634,358327,1159634,358327
4169169,1288273,4169169,1288273
44967,13895,44967,13895
0,0,0,0
10336684,3417618,10336684,3417618
0,0,0,0
125745,38855,125745,38855
893603,276123,893603,276123
0,0,0,0
446,138,446,138
0,0,0,0
4587,1417,4587,1417
0,0,0,0
4233645,1308196,4233645,1308196
7016298,2168036,7016298,2168036
0,0,0,0
208024,64279,208024,64279
119930,37058,119930,37058
0,0,0,0
79476,24558,79476,24558
4564491,1388798,4564491,1388798
0,0,0,0
0,0,0,0
6087104,1880915,6087104,1880915
0,0,0,0
84177,190746,84177,190746
6397700,1976889,6397700,1976889
0,0,0,0
8927040,2758455,8927040,2758455
32442,10025,32442,10025
2712262,838089,2712262,838089
0,0,0,0
1219577,376849,1219577,376849
4966494,1534647,4966494,1534647
128830,39808,128830,39808
0,0,0,0
33490401,11072931,33490401,11072931
0,0,0,0
872341,269553,872341,269553
0,0,0,0
1322184,408555,1322184,408555
0,0,0,0
5339,1650,5339,1650
0,0,0,0
0,0,0,0
0,0,0,0
22769,7036,22769,7036
2708238,836846,2708238,836846
103578,32006,103578,32006
9569325660,0,9569325660,0
1690465,522354,1690465,522354
10540620,3485045,10540620,3485045
75561081,24982760,75561081,24982760
0,0,0,0
147987,45728,147987,45728
12585,3889,12585,3889
0,0,0,0
3473752,1291503,3473752,1291503
4893720,14627372,4893720,14627372
0,0,0,0
2141590,661751,2141590,661751
0,0,0,0
1705,527,1705,527
0,0,0,0
91339,28224,91339,28224
0,0,0,0
34287,10595,34287,10595
82774,25577,82774,25577
0,0,0,0
5049,1560,5049,1560
0,0,0,0
0,0,0,0
0,0,0,0
4931611,1523868,4931611,1523868
0,0,0,0
109531,33845,109531,33845
0,0,0,0
3636506,1123680,3636506,1123680
145727,45030,145727,45030
651,201,651,201
3377149,1011712,3377149,1011712
163777,50607,163777,50607
0,0,0,0
619,191,619,191
0,0,0,0
0,0,0,0
87094,26912,87094,26912
143550,44357,143550,44357
201519,62269,201519,62269
0,0,0,0
2158010,666825,2158010,666825
0,0,0,0
2309601,713667,2309601,713667
371485,79353,371485,79353
8211,2537,8211,2537
37193,11493,37193,11493
0,0,0,0
27381029,9052990,27381029,9052990
0,0,0,0
4967515,1534962,4967515,1534962
0,0,0,0
121717,37611,121717,37611
0,0,0,0
37350,11541,37350,11541
62995,19465,62995,19465
13193,4077,13193,4077
510,158,510,158
882,273,882,273
0,0,0,0
0,0,0,0
250441,77386,250441,77386
23153,7154,23153,7154
0,0,0,0
3161267,976831,3161267,976831
0,0,0,0
56949,17597,56949,17597
949419,291141,949419,291141
0,0,0,0
135764,41951,135764,41951
0,0,0,0
0,0,0,0
141986,43874,141986,43874
24326034,8042917,24326034,8042917
2087644,645082,2087644,645082
0,0,0,0
6779785,2094954,6779785,2094954
0,0,0,0
5160264,1521901,5160264,1521901
708901,219051,708901,219051
0,0,0,0
590861,182576,590861,182576
0,0,0,0
827849,255805,827849,255805
6104,1886,6104,1886
161902,50028,161902,50028
956,295,956,295
2201,680,2201,680
0,0,0,0
5066,1565,5066,1565
687622,212475,687622,212475
0,0,0,0
0,0,0,0
0,0,0,0
19689196,6195507,19689196,6195507
0,0,0,0
1744940,539186,1744940,539186
3569279,1102907,3569279,1102907
128451,39691,128451,39691
0,0,0,0
0,0,0,0
0,0,0,0
350670,108357,350670,108357
0,0,0,0
315242,97410,315242,97410
0,0,0,0
2771942,856530,2771942,856530
433939,134087,433939,134087
0,0,0,0
2639697,546012,2639697,546012
6517787,2013996,6517787,2013996
1758089,543250,1758089,543250
702210,207120,702210,207120
313867,96985,313867,96985
656664,202909,656664,202909
0,0,0,0
5026,1553,5026,1553
8089,2499,8089,2499
94400,29170,94400,29170
8808523,2721834,8808523,2721834
0,0,0,0
0,0,0,0
516513,159602,516513,159602
0,0,0,0
3208564,989840,3208564,989840
0,0,0,0
716511382,247970259,716511382,247970259
0,91460,0,91460
988919,305576,988919,305576
0,0,0,0
7007897,2165440,7007897,2165440
4396120,1358401,4396120,1358401
1066625,329587,1066625,329587
0,0,0,0
238519,73702,238519,73702
0,0,0,0
4498237,1389955,4498237,1389955
0,0,0,0
0,0,0,0
51244,15834,51244,15834
3212590,992690,3212590,992690
446940,137085,446940,137085
550339,170055,550339,170055
0,333209,0,333209
0,0,0,0
0,0,0,0
0,0,0,0
8099858,2502856,8099858,2502856
0,0,0,0
0,0,0,0
5488086,1695819,5488086,1695819
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
745,230,745,230
0,0,0,0
0,0,0,0
70909865,19540723,70909865,19540723
79123434,26160581,79123434,26160581
1825056,560852,1825056,560852
0,0,0,0
8586,2653,8586,2653
0,0,0,0
32861,10154,32861,10154
1122342,346804,1122342,346804
71773836,23730583,71773836,23730583
0,0,0,0
2528,781,2528,781
0,0,0,0
846010,261417,846010,261417
1,0,1,0
0,0,0,0
359316,111029,359316,111029
8159032,2521141,8159032,2521141
0,0,0,0
0,0,0,0
4233830,1308253,4233830,1308253
0,0,0,0
0,0,0,0
0,0,0,0
1472085,454874,1472085,454874
231453,71519,231453,71519
3786367,1169987,3786367,1169987
2475,765,2475,765
512115,158244,512115,158244
11236,3472,11236,3472
2950578,911729,2950578,911729
1803222,557196,1803222,557196
50897,15727,50897,15727
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
142,44,142,44
0,0,0,0
6291311,1377379,6291311,1377379
43093,1001235,43093,1001235
0,0,0,0
0,0,0,0
1567353,484312,1567353,484312
2054485,634836,2054485,634836
3118851,963725,3118851,963725
0,0,0,0
2711726,837923,2711726,837923
0,0,0,0
36731,11350,36731,11350
1410,436,1410,436
194920,60230,194920,60230
0,0,0,0
494,153,494,153
5251585,1622740,5251585,1622740
29897,9238,29897,9238
51456,15900,51456,15900
1018905,314842,1018905,314842
0,0,0,0
0,0,0,0
40212,12426,40212,12426
2924737,903744,2924737,903744
9468878,2925883,9468878,2925883
0,0,0,0
1367586,422584,1367586,422584
168650,52113,168650,52113
3251438,1004694,3251438,1004694
281196,86890,281196,86890
0,0,0,0
0,0,0,0
5001302,1475157,5001302,1475157
412753,127541,412753,127541
0,0,0,0
0,0,0,0
5675624,1753768,5675624,1753768
0,0,0,0
0,0,0,0
3450717,1066272,3450717,1066272
16941,5235,16941,5235
931101,287710,931101,287710
0,0,0,0
672315,207745,672315,207745
53276,16462,53276,16462
0,0,0,0
0,0,0,0
9990,3087,9990,3087
0,0,0,0
0,0,0,0
713840,220576,713840,220576
0,0,0,0
0,0,0,0
0,0,0,0
8143,2516,8143,2516
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
363131,112207,363131,112207
3038,939,3038,939
0,0,0,0
0,0,0,0
0,0,0,0
851321,263058,851321,263058
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
6819463,2107214,6819463,2107214
7940,2453,7940,2453
8357495,2582466,8357495,2582466
4834560,1493879,4834560,1493879
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
102270,31601,102270,31601
0,0,0,0
144089,44524,144089,44524
1024631,316611,1024631,316611
0,0,0,0
2790110,862144,2790110,862144
0,0,0,0
0,0,0,0
0,16563,0,16563
0,0,0,0
0,0,0,0
176123,54422,176123,54422
0,0,0,0
2690357,831320,2690357,831320
79975874,26148927,79975874,26148927
11971,3699,11971,3699
0,0,0,0
0,0,0,0
7636314,2359621,7636314,2359621
502002,155119,502002,155119
278375,86018,278375,86018
0,0,0,0
27011310,8930749,27011310,8930749
0,0,0,0
418217,129229,418217,129229
2267780,510333,2267780,510333
0,0,0,0
0,0,0,0
10695416,3536225,10695416,3536225
0,0,0,0
704543,217704,704543,217704
45082,13930,45082,13930
0,0,0,0
145055,44822,145055,44822
0,0,0,0
0,0,0,0
0,0,0,0
384498,118810,384498,118810
9663,2986,9663,2986
94945,29338,94945,29338
4115,1271,4115,1271
54512,16844,54512,16844
37284,11521,37284,11521
614562,189900,614562,189900
10875667,3595822,10875667,3595822
0,0,0,0
0,0,0,0
496834,153522,496834,153522
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
122436,37833,122436,37833
359099,110961,359099,110961
0,0,0,0
7650,2364,7650,2364
107558,33235,107558,33235
0,0,0,0
378459,116944,378459,116944
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
19223,5940,19223,5940
0,0,0,0
0,0,0,0
0,0,0,0
182,56,182,56
2768549,855482,2768549,855482
72762,22483,72762,22483
56068,17325,56068,17325
16078,4968,16078,4968
0,0,0,0
5554894,1716462,5554894,1716462
0,0,0,0
202656280,70135286,202656280,70135286
471891,145814,471891,145814
325412157,112298342,325412157,112298342
2157703,666730,2157703,666730
0,0,0,0
332323,102688,332323,102688
0,0,0,0
31151,9626,31151,9626
0,0,0,0
83598,25832,83598,25832
0,0,0,0
0,0,0,0
12730,3934,12730,3934
7784592,2405439,7784592,2405439
3109935,960970,3109935,960970
0,0,0,0
0,0,0,0
0,0,0,0
290875,89880,290875,89880
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
4038432,1244631,4038432,1244631
0,0,0,0
1660,513,1660,513
8003420,2473057,8003420,2473057
264866,80144,264866,80144
516017,159449,516017,159449
64732,20002,64732,20002
166337749,57566168,166337749,57566168
0,0,0,0
0,0,0,0
0,0,0,0
1037392,320554,1037392,320554
0,0,0,0
0,0,0,0
3570116,1087716,3570116,1087716
6962302,2151351,6962302,2151351
2900,896,2900,896
0,0,0,0
0,0,0,0
75725,23399,75725,23399
295118,91191,295118,91191
27354184,9044114,27354184,9044114
0,0,0,0
4089297,1263593,4089297,1263593
17317544,5725700,17317544,5725700
11458773,3788614,11458773,3788614
26076,8058,26076,8058
0,0,0,0
0,0,0,0
789499,243955,789499,243955
7217453,2230193,7217453,2230193
0,0,0,0
0,0,0,0
1055370,261655,1055370,261655
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
125737,38853,125737,38853
2256645,697303,2256645,697303
31340,9684,31340,9684
388580,120071,388580,120071
0,0,0,0
0,0,0,0
0,0,0,0
17184,5310,17184,5310
0,0,0,0
0,0,0,0
2976971,919884,2976971,919884
0,0,0,0
206199,63716,206199,63716
0,0,0,0
1817482,561602,1817482,561602
202238,62492,202238,62492
0,0,0,0
8077465,2495937,8077465,2495937
1577031,30697,1577031,30697
22143,6842,22143,6842
908661,280776,908661,280776
577054552,199707039,577054552,199707039
3620767,1080192,3620767,1080192
0,0,0,0
0,0,0,0
0,0,0,0
47962,14820,47962,14820
0,0,0,0
2592009,800931,2592009,800931
0,0,0,0
379154,117158,379154,117158
0,0,0,0
0,0,0,0
891506,274703,891506,274703
0,0,0,0
0,0,0,0
756016,233609,756016,233609
20001399,6613062,20001399,6613062
9258385,2860841,9258385,2860841
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
52551,16238,52551,16238
68,21,68,21
0,0,0,0
0,0,0,0
481609,148817,481609,148817
113832,35174,113832,35174
34970,10806,34970,10806
0,0,0,0
2922031,898736,2922031,898736
342342,105784,342342,105784
1688,521,1688,521
0,0,0,0
116318,35942,116318,35942
0,0,0,0
720438,222615,720438,222615
22667414,7461464,22667414,7461464
30300580,10018281,30300580,10018281
0,0,0,0
0,0,0,0
82208,25402,82208,25402
1722,532,1722,532
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
18276,5647,18276,5647
0,0,0,0
0,0,0,0
1476775,456324,1476775,456324
96022,29671,96022,29671
0,0,0,0
0,0,0,0
0,0,0,0
5559,1718,5559,1718
27511,8501,27511,8501
5780987,1786325,5780987,1786325
0,0,0,0
0,0,0,0
160900,49718,160900,49718
20656,6383,20656,6383
63887,19741,63887,19741
17487579,5616603,17487579,5616603
8129128,2511900,8129128,2511900
0,0,0,0
0,0,0,0
293768,90774,293768,90774
89333,27604,89333,27604
1671123,516377,1671123,516377
0,0,0,0
0,0,0,0
773461,238999,773461,238999
122733,37924,122733,37924
4231628,1307573,4231628,1307573
183740,56776,183740,56776
0,0,0,0
0,0,0,0
8970486,2771880,8970486,2771880
641,198,641,198
19603857,6481623,19603857,6481623
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
5540,1712,5540,1712
503366,155540,503366,155540
3641,1125,3641,1125
6126635,1893130,6126635,1893130
93796,28983,93796,28983
0,0,0,0
34602251,11017887,34602251,11017887
9253129,2859217,9253129,2859217
5430278,1677956,5430278,1677956
270372,83545,270372,83545
135661,41919,135661,41919
285677908,67202143,285677908,67202143
0,0,0,0
3940611,1217649,3940611,1217649
0,0,0,0
1968557,608284,1968557,608284
3823904,1181586,3823904,1181586
706674,218362,706674,218362
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
155468262,53804456,155468262,53804456
0,0,0,0
214622,66318,214622,66318
15390,4756,15390,4756
1097483,339122,1097483,339122
1507755,465896,1507755,465896
7384134,2281697,7384134,2281697
0,0,0,0
59373,18346,59373,18346
551262,170340,551262,170340
9375,2897,9375,2897
0,0,0,0
8926,2758,8926,2758
31657,9782,31657,9782
0,0,0,0
786161,242924,786161,242924
27934891,9236113,27934891,9236113
1272193,346041,1272193,346041
0,0,0,0
0,0,0,0
34904748,8171471,34904748,8171471
0,0,0,0
0,0,0,0
0,0,0,0
6479,2002,6479,2002
134100,41437,134100,41437
0,0,0,0
0,0,0,0
0,0,0,0
3328587,1028533,3328587,1028533
11788,3642,11788,3642
3448489,1065583,3448489,1065583
121249340,41934787,121249340,41934787
0,0,0,0
491833988,159337861,491833988,159337861
18988629,6278210,18988629,6278210
124822748,42880263,124822748,42880263
11454,3539,11454,3539
43169091,12728038,43169091,12728038
213782,66059,213782,66059
0,0,0,0
0,0,0,0
754081,233011,754081,233011
0,352,0,352
0,0,0,0
2043842,615943,2043842,615943
1187199,366844,1187199,366844
0,0,0,0
1297955,401068,1297955,401068
49484,15290,49484,15290
0,0,0,0
0,0,0,0
2514120,776863,2514120,776863
120484439,3576433,120484439,3576433
241958,50688,241958,50688
0,0,0,0
0,0,0,0
0,0,0,0
51388,15879,51388,15879
181881,56201,181881,56201
0,0,0,0
2971,918,2971,918
0,0,0,0
10932794,3614710,10932794,3614710
16771,5182,16771,5182
47926,14809,47926,14809
1545413,477533,1545413,477533
0,0,0,0
1082,334,1082,334
0,0,0,0
477224,147462,477224,147462
7186913,2220756,7186913,2220756
355824,109949,355824,109949
0,0,0,0
130,40,130,40
0,0,0,0
0,0,0,0
473655,146359,473655,146359
0,0,0,0
488145,150837,488145,150837
0,0,0,0
0,0,0,0
2645116,552259,2645116,552259
0,0,0,0
1224761,378451,1224761,378451
0,0,0,0
307835,95121,307835,95121
231244,71454,231244,71454
7280145,2249565,7280145,2249565
14978712,4952412,14978712,4952412
282461,87280,282461,87280
506396,156476,506396,156476
58278,18008,58278,18008
346651,107115,346651,107115
1185649,366366,1185649,366366
945766,292242,945766,292242
186979,57776,186979,57776
109276685,37667491,109276685,37667491
792792,244973,792792,244973
8474532,2618630,8474532,2618630
0,0,0,0
1851500,572114,1851500,572114
8376284,2588272,8376284,2588272
0,0,0,0
0,0,0,0
13789859,4377559,13789859,4377559
228959336,75349956,228959336,75349956
0,0,0,0
0,0,0,0
5196766,1605801,5196766,1605801
406,125,406,125
0,0,0,0
