GTI2017,citax2017,GTI2018,citax2018
0,0,0,0
57683460,19071882,59085637,19535484
0,0,0,0
338147,104487,0,0
126665,39140,24582,7596
1259197907,0,904974104,0
20118750,6651862,44588591,14742326
624680,193026,349372,107956
9703982,2998531,16805000,5556237
46966,14512,168405,52037
0,0,0,0
0,0,1212814,374759
581657,179732,0,0
0,0,0,0
48634732,16080101,12016312,3946999
0,0,0,0
211730,65425,731230,225950
0,0,0,0
139993004,45373538,27999410,9257445
0,0,0,0
16014,4948,7273,2247
213825,66072,5506,1701
0,0,0,0
1314,406,71860,22205
0,0,0,0
0,0,0,0
0,0,0,0
11864279,3922687,0,0
0,0,0,0
25649229,8480404,11425153,3777498
0,0,0,0
0,0,0,0
0,0,0,0
7712,2383,7858,2428
0,0,0,0
10895866,3455398,6791934,2092239
3616207,1117408,0,0
45604,14091,50937,15740
110255,34069,55215,17062
1480644,457519,905927,279931
161264,49831,98980,30585
9743897,3010864,2091853,646383
0,0,0,0
1013,313,1508,466
0,0,0,0
0,0,0,0
144987,44801,0,0
0,0,0,0
0,0,0,0
405617,125336,205254,63423
0,0,2215283,684522
6831903,2111058,3005126,928584
1433239,442871,1350999,417459
19828298,6555830,5744903,1775175
0,0,0,0
0,0,0,0
16827832,5563786,0,0
10316,3188,3963,1225
0,0,0,0
144785,44739,216502,66899
36355923,12020359,46192937,15272771
93275,28822,62310,19254
74451326,24615842,50155791,16583009
4388,1356,3232,999
1365739,422013,1774881,548438
0,0,0,0
937630,289728,450060,139068
59342,18337,17474,5399
0,0,79407,24537
0,0,228799,70699
605755,187178,537953,166228
4437479,1371181,4129998,1276169
480250,148397,417934,129142
11066647,3658965,3928942,1214043
180466,55764,440092,135988
37322,11532,31779,9820
10692296,3535194,11336719,3748259
0,0,0,0
1280929,395807,709876,219352
13780149,4556131,8084922,2498241
537814,166184,0,0
0,0,1895,585
0,0,0,0
32930,10175,47214,14589
0,0,0,0
9199833,2842748,5479268,1693094
7312869,2259677,3404506,1051992
13510882,4467103,3726038,1151346
1821426,562821,0,0
5330,1647,36380,11242
0,0,0,0
56449,17443,0,0
20115375,6650746,10622209,3512021
379705386,130339163,0,0
0,0,0,0
30284514,10012969,16529058,5465003
0,0,0,0
249989075,63479717,120752481,36211499
693860,214403,485984,150169
0,0,0,0
2998814,926634,6499625,2008384
109255,33760,12531,3872
937931,289821,1066249,329471
0,0,0,0
273633,84553,0,0
0,0,0,0
0,0,18932,5850
119963,37069,0,0
34165931,11296282,13037014,4310428
0,0,0,0
1317363,407065,1017788,314497
0,0,0,0
542103,167510,0,0
0,0,0,0
5791,1789,5912,1827
0,0,0,0
0,0,0,0
0,0,618815634,214159715
0,0,169249,52298
93186,28795,124908,38597
94783,29288,20019,6186
325462345,112636008,13095564539,20342044
377284,116581,1909664,590086
0,0,0,0
247434444,84421090,164790289,57030623
0,0,0,0
44130144,9729163,0,0
1778,549,1597,493
1561605,482536,285904,88344
0,0,194077,59970
39619010,13099233,0,94651
0,0,581103,179561
554057,171204,0,263
0,0,0,0
4849,1498,3486,1077
0,0,0,0
995289,307544,281644,87028
22345087,7387956,0,0
0,0,48894,15108
737020,227739,0,0
0,0,337472,104279
7326,2264,142564,44052
0,0,0,0
0,0,0,0
0,0,17657449,5838082
1377128,425533,719652,222372
0,0,0,0
1086234,335646,743440,229723
0,0,0,0
0,0,91696,28334
298849,92344,137895,42610
0,0,0,0
643988014,221502697,474503007,163038760
0,0,0,0
0,0,0,0
7267181,2150088,0,0
9466,2925,4879,1508
28190,8711,14259,4406
1332115,400167,412166,127359
59141,18274,0,0
1032471,319034,24041,7429
0,0,0,0
6888508,2128549,4057564,1253787
0,0,0,0
20242173,6692670,8005519,2473705
0,0,0,47831
41838,12928,182712,56458
0,0,6412,1981
0,0,0,0
78512846,25958702,31820148,10520695
0,0,0,0
7896747,2440095,3833227,1176382
0,0,0,0
565349,174693,462515,142917
0,0,0,0
476626,147277,145224,44874
141690,43782,781517,241489
1009266,311863,626719,193656
4842,1496,1547,478
15741,4864,29661,9165
4703009,1453230,0,0
0,0,0,0
0,0,0,0
0,0,18555,5733
1734214,535872,5291402,1635043
16790292,5551374,3882293,1199628
163298,50459,11009,3402
287104,88715,173489,53608
0,0,437221,90409
0,0,0,0
0,0,101745,31439
0,0,0,0
0,0,0,0
0,0,0,0
38437563,12708612,27163428,8981044
593770051,0,618822884,0
0,0,0,0
18667589,6172065,10947386,3619534
0,0,0,0
8575074,1885929,6892186,1985554
11463685,3790238,7795691,2408869
482798,149185,0,0
22890089,7568150,1667013,515107
0,0,0,0
4035006,1246817,2487548,570003
107375,33179,86799,26821
1663597,514052,485916,150148
2300,711,1181,365
57581,17793,6151,1901
0,0,0,0
91426,28251,1114,344
1790160,553160,1321605,408376
0,0,940494,290613
0,0,0,0
0,0,0,0
20117424,6651424,23330246,6805280
0,0,0,0
4271087,1319766,6912366,2135921
12665289,4187524,14067830,4651246
0,0,43481,13436
4305538,1330411,1365687,421997
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
105423,32576,0,0
128959,39848,0,0
17906647,5920475,5991703,1851436
480850,148583,188515,58251
0,0,0,0
5871442,1209517,10831863,2387559
0,0,252087,77895
3551462,1097402,2048608,633020
54654535,18070429,30302254,10005857
0,0,332438,96659
3333791,1030141,1969134,608462
0,0,3547,1096
2553320,756898,1221488,377440
377603,116679,0,0
0,0,0,0
14275055,3493912,6111935,1888588
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
13113219,4335624,6392869,1975397
0,0,0,0
1411389750,488453765,1179565969,408224190
1170842,213400,4497989,1911750
2264159,699625,773599,239042
5091185,1573176,1945315,601102
19729239,6523078,5891074,1820342
9967733,3080029,7845906,2424385
14171703,4685590,4000792,1236245
0,0,0,0
671834,207597,0,0
2111016,652304,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,35444,10952
1913089,591145,1406966,434752
1788488,552643,1018366,314675
238810,73792,0,0
0,186370,0,0
0,0,0,0
0,0,0,0
0,0,0,0
9931967,3068978,3252279,1004954
11159,3448,0,0
0,0,331983,102583
0,0,0,0
0,0,0,0
32651029,10795410,0,0
0,0,0,0
46498,14368,5210,1610
0,0,0,0
0,0,0,0
0,0,0,0
211488970,403,76875227,17963182
216851,67007,0,0
12062311,3906439,6698850,2065902
0,0,0,0
0,0,0,0
0,0,0,0
42976,13280,23388,7227
5595114,1728890,2298807,710331
48981853,16194870,65290128,21586875
1058423,327053,9063373,2800582
138234,42714,83360,25758
10102021,3340031,17792783,5882828
0,0,0,0
1237888,382507,545154,168453
445862023,154303929,189763418,62368659
977981,302196,573873,177327
12891726,4262391,8681320,2682528
0,0,0,0
0,0,0,0
4905277,1515730,2555517,789655
0,0,0,0
0,0,515256,159214
0,0,0,0
4797414,1482401,2696153,833111
254211,78551,467006,144305
15328526,5068071,8056788,2489548
58537,18088,24750,7648
917029,283362,1288499,398146
2020,624,1367,422
639442,197588,800901,247478
6397854,1976937,3265758,1009119
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,15636
70098,21660,0,0
7965,2461,4232,1308
0,0,0,0
6578118,2032639,4613609,1425605
0,0,74913191,19098734
0,0,0,0
0,0,0,0
14733012,4871176,4028827,1244908
0,0,0,0
0,0,0,0
0,0,0,0
2783992,860254,2202885,680692
0,0,0,0
224435,69350,0,0
7670,2370,0,0
9898305,3058576,8425912,2595117
0,0,108294,33463
0,0,3468,1072
4415606,1364422,3489441,1078237
315761,97570,270221,65306
47108,14556,110166,34041
3398770,1050220,1915771,591973
634471,196051,80387647,17815675
0,0,0,0
0,0,502910,155399
2839799,877498,2025095,625754
12655089,4184152,9704167,2998588
0,0,0,0
