GST_ID_NO,Weight,Weighted GST_Cereal,Weighted Total Consumption,Weighted GST
410001101,3694,5531284,3398200597,367243556
410001102,3694,2452550,2112303113,221650695
410001103,3694,5672175,3393194342,479052433
410001201,8248,6756946,4115802056,414049041
410001202,8248,6838495,4380213784,488785565
410001203,8248,8620931,4646014206,381747369
410001204,8248,5766704,4439574833,398692242
410001301,258,133610,52975264,4311787
410011101,924,606874,335420699,23808089
410011102,924,430685,366526822,25263596
410011201,6270,3630991,2288766783,206250509
410011202,6270,15011049,5013245702,484245234
410011203,6270,13195553,4129276920,355615721
410011204,6270,5047963,2160499472,191382205
410011301,5148,15851444,6029576880,446117827
410011302,5148,6689600,2602962786,239083035
410021101,2947,2568156,2116855149,199657658
410021102,2947,4370444,2724518957,295617809
410021103,2947,4324658,3874501732,428147477
410021104,2947,2143599,2446758368,234144269
410021201,9417,8685770,4066429127,420046943
410021202,9417,8486250,5103971382,408667951
410021203,9417,4655466,4648708441,459242072
410021204,9417,25538557,9814023865,995855897
410031101,1166,673734,768361386,93406776
410031102,1166,1004836,752558496,69434642
410031201,3790,2976620,1919392297,147985641
410031202,3790,2435903,2042977442,195696827
410031203,3790,2194989,1148170764,93864633
410031204,3790,1284872,970166675,99446258
410031301,2332,1403476,575119413,49833231
410031302,2332,6193745,1486890501,106390835
410041101,3564,2184521,2400670119,275194051
410041102,3564,3010008,3259832081,372006950
410041201,2585,1318273,540329074,50690285
410041202,2585,2410139,1159002196,92847996
410041203,2585,2081484,973217893,93746951
410041204,2585,1069956,610232290,56610444
410041301,838,1102622,383867751,34684692
410041302,838,756794,291406019,29019317
410051101,10726,2787593,2487492241,179006733
410051102,10726,19801003,17481638169,1785760682
410051103,10726,10135326,5428645977,491829918
410051104,10726,4741939,4582148581,384735783
410051201,3658,4117900,1800353700,161135409
410051202,3658,2846880,938731910,71513283
410051203,3658,6334436,1878486989,149159680
410051204,3658,3053550,1477606245,144928736
410061101,2878,2784067,3055175930,349144516
410061102,2878,1605411,1931773581,153756916
410061201,13452,10773423,6700445946,745325034
410061202,13452,7410291,5545259000,544567138
410061203,13452,13471529,9596715007,998422422
410061204,13452,10678420,6175795192,551210506
410061301,288,208907,60621151,4671067
410061302,288,60559,32122969,2267143
410071101,993,466998,270437564,24759772
410071102,993,943812,523759227,50817232
410071201,5384,3118159,2105819424,210940575
410071202,5384,1878500,1612652452,162622987
410071203,5384,380263,937397784,109822354
410071204,5384,4616396,2223870096,244373248
410071301,1451,1449104,403764194,32301973
410071302,1451,813712,274232693,21547868
410081101,245,159875,146882564,13839721
410081201,6419,2792492,1812125325,126730113
410081202,6419,3263951,1313433407,87133019
410081203,6419,7162560,2565965694,237342820
410081204,6419,9247862,3416341419,294070571
410081205,6419,6618568,2469142720,214470726
410081301,735,830522,288416768,23537597
410081302,735,508695,269747988,18658887
410091101,2237,1807024,1385407105,143866857
410091102,2237,1936549,1627655912,136596006
410091201,3394,3240174,1466201497,126135053
410091202,3394,3101173,1379715021,113696086
410091203,3394,2348647,1278472394,109394751
410091204,3394,4232358,2590373632,233075552
410091301,1465,1318449,405124622,38199636
410091302,1465,1231519,766568493,71042108
410101101,3030,3115644,5437602880,526810353
410101201,669,170121,183501162,18808181
410101202,669,484844,386357518,34536809
410101203,669,387497,318916656,30327039
410101204,669,595422,531614829,48132408
410101301,252,83811,33006518,3104614
410102101,15756,13308250,14682494394,1323485016
410111101,858,1535774,1109443009,79821613
410111102,858,2101394,2391571865,329599765
410111201,7044,13431098,4637334871,525587388
410111202,7044,11789519,4685006678,493513587
410111203,7044,13232118,3733435530,339209907
410111204,7044,11690029,3572114596,343753848
410111301,3185,4048795,1128665421,94022971
410111302,3185,2721690,625297617,43349923
410121101,510,579009,522250382,43483087
410121102,510,330965,439768471,47138127
410121103,510,369902,687595092,67528295
410121104,510,0,140046547,15309052
410121201,1276,1249231,808302030,67579706
410121202,1276,252370,208030379,13701831
410121203,1276,1388035,823887673,73119942
410121204,1276,2053210,618773753,53169300
410131101,256,247930,184918316,18279610
410131102,256,307288,224226787,27075782
410131201,1730,2846217,1704521428,180565626
410131202,1730,1123828,736307479,86973628
410131203,1730,1649096,691691608,60549901
410131204,1730,1539156,653656443,61944023
