GST_ID_NO,Weight,GST_Cereal,GST_Other,GST_Total
410001101,3694,53,17513,17566
410001102,3694,24,13254,13277
410001103,3694,54,7849,7904
410001201,8248,29,4992,5021
410001202,8248,29,6348,6377
410001203,8248,37,5067,5104
410001204,8248,25,4401,4426
410001301,258,18,2323,2341
410011101,924,23,2184,2207
410011102,924,16,4015,4032
410011201,6270,20,7156,7176
410011202,6270,85,5276,5361
410011203,6270,74,5569,5643
410011204,6270,28,2757,2785
410011301,5148,109,7964,8073
410011302,5148,46,4788,4834
410021101,2947,31,9150,9181
410021102,2947,52,12021,12074
410021103,2947,52,29756,29808
410021104,2947,26,9850,9876
410021201,9417,33,4742,4775
410021202,9417,32,4515,4547
410021203,9417,18,6867,6885
410021204,9417,96,10957,11053
410031101,1166,20,18830,18850
410031102,1166,30,4609,4640
410031201,3790,28,5598,5625
410031202,3790,23,3583,3606
410031203,3790,20,2689,2709
410031204,3790,12,1568,1580
410031301,2332,21,2777,2799
410031302,2332,94,3882,3976
410041101,3564,22,12537,12558
410041102,3564,30,17006,17035
410041201,2585,18,2192,2210
410041202,2585,33,7663,7696
410041203,2585,28,4345,4374
410041204,2585,15,2257,2272
410041301,838,47,3294,3340
410041302,838,32,2423,2455
410051101,10726,9,3816,3825
410051102,10726,65,26808,26873
410051103,10726,33,7290,7323
410051104,10726,16,2735,2751
410051201,3658,40,6251,6291
410051202,3658,28,4104,4132
410051203,3658,61,6524,6585
410051204,3658,30,4718,4748
410061101,2878,34,19789,19823
410061102,2878,20,7596,7616
410061201,13452,28,3699,3727
410061202,13452,20,5444,5463
410061203,13452,35,9247,9283
410061204,13452,28,5009,5037
410061301,288,26,1963,1989
410061302,288,7,762,770
410071101,993,17,2145,2162
410071102,993,34,4179,4213
410071201,5384,20,5276,5297
410071202,5384,12,2473,2486
410071203,5384,2,1251,1254
410071204,5384,30,3093,3124
410071301,1451,35,2070,2106
410071302,1451,20,1316,1336
410081101,245,23,6770,6793
410081201,6419,15,2057,2072
410081202,6419,18,1368,1386
410081203,6419,40,2788,2828
410081204,6419,51,4317,4368
410081205,6419,36,3219,3256
410081301,735,40,2601,2641
410081302,735,24,5681,5706
410091101,2237,29,8475,8504
410091102,2237,31,11254,11284
410091201,3394,34,5139,5173
410091202,3394,32,3273,3305
410091203,3394,24,2837,2862
410091204,3394,44,8240,8284
410091301,1465,32,2104,2136
410091302,1465,30,4578,4608
410101101,3030,36,33081,33118
410101201,669,9,3023,3032
410101202,669,26,11145,11171
410101203,669,20,5451,5472
410101204,669,32,5651,5683
410101301,252,12,1666,1678
410102101,15756,30,8608,8638
410111101,858,63,31748,31811
410111102,858,87,97401,97488
410111201,7044,68,5376,5444
410111202,7044,59,5259,5319
410111203,7044,66,4283,4349
410111204,7044,59,5291,5349
410111301,3185,45,2805,2850
