FILING_SEQ_NO,AGEGRP,SALARIES,INCOME_HP,TOTAL_PROFTS_GAINS_BP,TOTAL_INCOME_OS,GTI,TTI,pitax1,pitax2,pitax_diff
266092444,0,0,0,1779497,0,1779497,1779497,358849,394734,35885
266128710,1,0,197962,383978,150111,732051,732051,66410,66410,0
266137755,0,442351,0,1016400,43635,1502385,1502385,275716,303287,27572
266483488,0,0,0,331954,0,331954,331954,3195,4695,1500
266547453,0,137038,0,429102,0,566140,566140,38228,38228,0
266582727,2,0,0,603544,0,603544,603544,20709,20709,0
266588057,0,0,0,276896,0,276896,276896,0,0,0
266601810,0,0,0,641410,400,641810,641810,53362,53362,0
266729149,1,0,0,430966,7272,438237,438237,8824,13824,5000
266772587,1,143857,0,224455,17284,385597,385597,3560,8560,5000
266820778,2,0,0,369458,0,369458,369458,0,0,0
266831688,1,0,0,437721,0,437721,437721,8772,13772,5000
266901543,2,0,0,467347,12479,479826,479826,0,0,0
266915154,0,0,0,381727,522,382249,382249,8225,13225,5000
266915653,1,0,0,637789,3683,641471,641471,48294,48294,0
266922880,0,0,0,282102,670,282772,282772,0,0,0
266933342,0,0,0,383352,1853,385206,385206,8521,13521,5000
266979403,0,0,16197,297441,116882,430520,430520,13052,18052,5000
267004387,0,438855,0,124630,37953,601438,601438,45288,45288,0
267028054,1,0,0,330064,280059,610123,610123,42025,42025,0
267047825,0,0,0,358596,0,358596,358596,5860,10860,5000
267054829,0,0,0,416475,0,416475,416475,11647,16647,5000
267087135,2,0,307314,186594,40480,534389,534389,6878,6878,0
267093088,0,0,0,216480,856,217336,217336,0,0,0
267118541,0,0,0,685782,0,685782,685782,62156,62156,0
267120107,0,0,0,419265,82930,502195,502195,25439,25439,0
267139296,1,0,0,386716,637,387353,387353,3735,8735,5000
267151676,1,0,0,510088,0,510088,510088,22018,22018,0
267202612,1,0,0,626665,0,626665,626665,45333,45333,0
267215643,0,0,0,374011,0,374011,374011,7401,12401,5000
267227192,1,0,0,305174,0,305174,305174,0,0,0
267236208,1,0,0,472142,17300,489442,489442,13944,18944,5000
267242084,0,0,0,411792,35300,447093,447093,14709,19709,5000
