FILING_SEQ_NO,AGEGRP,SALARIES,INCOME_HP,TOTAL_PROFTS_GAINS_BP,TOTAL_INCOME_OS,GTI,TTI,pitax1,pitax2,pitax_diff,percent change in tax,Zero change
328228799,0,2087991,-38972,0,0,2049018,1897720,393271,384089,-9182,-2,0
327959593,1,0,0,0,212359,212359,208535,0,0,0,0,1
316543975,0,765576,-115692,0,133646,783530,633530,40382,27774,-12608,-31,0
342873687,0,514544,0,0,33291,547834,387368,7074,0,-7074,-100,0
334803654,0,399145,0,0,5932,405077,361047,5719,0,-5719,-100,0
280077364,0,0,0,0,281683,281683,280835,0,0,0,0,1
304172877,0,928029,-64411,0,0,863618,713618,56880,44433,-12448,-22,0
300871989,0,0,0,0,474128,474128,382517,6825,0,-6825,-100,0
282796067,0,524904,0,0,0,524904,444474,10015,0,-10015,-100,0
287261011,0,1124542,0,0,58055,1182598,1017598,121313,109490,-11822,-10,0
299001469,0,840816,0,0,2937,843752,769059,68301,55964,-12337,-18,0
321019025,0,433730,0,0,0,433730,386821,7046,0,-7046,-100,0
337635044,0,525324,-147402,0,0,377922,330963,565,0,-565,-100,0
294004415,0,313667,-48205,0,28180,293641,293641,0,0,0,0,1
325770672,0,0,89983,0,178960,268943,262973,0,0,0,0,1
284730712,0,0,0,0,550877,550877,396377,7538,0,-7538,-100,0
329352035,1,0,0,0,530570,530570,523604,15162,4910,-10253,-68,0
275635940,0,495873,0,0,22124,517997,358961,5612,0,-5612,-100,0
275246191,0,0,0,0,272384,272384,272384,0,0,0,0,1
269765558,0,599689,0,0,4430,604119,441444,9859,0,-9859,-100,0
277438908,0,1077675,0,0,0,1077675,892955,93824,81735,-12089,-13,0
276728264,0,2188459,0,0,40039,2228498,2071034,446825,438163,-8662,-2,0
339647341,1,1277482,0,0,0,1277482,1210350,178298,169629,-8669,-5,0
307107911,1,2659987,0,0,0,2659987,2509987,579886,575116,-4770,-1,0
324860894,0,1336399,0,0,61248,1397647,1326047,216624,205727,-10897,-5,0
