   Income Bracket  weight           GTI           TTI  TI_special_rates  tax_TI_special_rates  Aggregate_Income  tax_Aggregate_Income     tax_TTI    rebate  surcharge      cess       pitax
0              <0   0.000         0.000         0.000             0.000                 0.000             0.000                 0.000       0.000     0.000      0.000     0.000       0.000
1              =0   0.000         0.000         0.000             0.000                 0.000             0.000                 0.000       0.000     0.000      0.000     0.000       0.000
2            0-5L 175.615   612,255.983   547,945.638             0.000                 0.000       547,945.638             7,906.887   7,032.560 1,707.793      0.000   159.743   5,484.511
3           5-10L 152.565 1,060,307.156   857,433.672         3,556.549               679.285       853,877.122            43,419.709  44,070.515     0.000      0.000 1,322.115  45,392.631
4          10-15L  52.277   647,774.353   575,211.555         3,080.225               467.319       572,131.330            74,571.121  75,038.440     0.000      0.000 2,251.153  77,289.593
5          15-20L  25.639   428,060.963   382,745.921        20,431.480             4,086.296       365,435.169            63,264.227  67,350.522     0.000      0.000 2,020.516  69,371.038
6          20-30L  17.110   400,441.457   374,078.634         1,792.349               358.470       372,286.286            79,523.489  79,881.958     0.000      0.000 2,396.459  82,278.417
7          30-40L   3.212    97,949.662    93,132.309             0.000                 0.000        93,132.309            21,918.001  21,918.001     0.000      0.000   657.540  22,575.541
8          40-50L   0.000         0.000         0.000             0.000                 0.000             0.000                 0.000       0.000     0.000      0.000     0.000       0.000
9         50-100L   0.000         0.000         0.000             0.000                 0.000             0.000                 0.000       0.000     0.000      0.000     0.000       0.000
10          >100L   0.000         0.000         0.000             0.000                 0.000             0.000                 0.000       0.000     0.000      0.000     0.000       0.000
11            ALL 426.418 3,246,789.574 2,830,547.729        28,860.602             5,591.370     2,804,807.854           290,603.433 295,291.998 1,707.793      0.000 8,807.526 302,391.731
