    weight           GTI           TTI       pitax
0    0.000         0.000         0.000       0.000
1    0.000         0.000         0.000       0.000
2  175.615   612,255.983   547,945.638   5,484.511
3  152.565 1,060,307.156   857,433.672  45,392.631
4   52.277   647,774.353   575,211.555  77,289.593
5   25.639   428,060.963   382,745.921  69,371.038
6   17.110   400,441.457   374,078.634  82,278.417
7    3.212    97,949.662    93,132.309  22,575.541
8    0.000         0.000         0.000       0.000
9    0.000         0.000         0.000       0.000
10   0.000         0.000         0.000       0.000
11 426.418 3,246,789.574 2,830,547.729 302,391.731
