    weight           GTI           TTI       pitax
0    0.000         0.000         0.000       0.000
1    0.000         0.000         0.000       0.000
2  175.615   597,704.034   533,393.689     135.855
3  152.565 1,037,405.129   834,531.645  37,510.513
4   52.277   638,792.706   566,229.908  75,517.688
5   25.639   423,354.244   378,039.202  68,576.047
6   17.110   397,019.365   370,656.543  82,009.544
7    3.212    97,307.348    92,489.995  22,594.319
8    0.000         0.000         0.000       0.000
9    0.000         0.000         0.000       0.000
10   0.000         0.000         0.000       0.000
11 426.418 3,191,582.827 2,775,340.982 286,343.966
