WT2017,WT2018,WT2019,WT2020,WT2021
265418.91,291960.801,321156.8811,353272.5692,388599.8261
265418.91,291960.801,321156.8811,353272.5692,388599.8261
265418.91,291960.801,321156.8811,353272.5692,388599.8261
265418.91,291960.801,321156.8811,353272.5692,388599.8261
265418.91,291960.801,321156.8811,353272.5692,388599.8261
265418.91,291960.801,321156.8811,353272.5692,388599.8261
265418.91,291960.801,321156.8811,353272.5692,388599.8261
265418.91,291960.801,321156.8811,353272.5692,388599.8261
265418.91,291960.801,321156.8811,353272.5692,388599.8261
265418.91,291960.801,321156.8811,353272.5692,388599.8261
265418.91,291960.801,321156.8811,353272.5692,388599.8261
265418.91,291960.801,321156.8811,353272.5692,388599.8261
265418.91,291960.801,321156.8811,353272.5692,388599.8261
265418.91,291960.801,321156.8811,353272.5692,388599.8261
265418.91,291960.801,321156.8811,353272.5692,388599.8261
265418.91,291960.801,321156.8811,353272.5692,388599.8261
265418.91,291960.801,321156.8811,353272.5692,388599.8261
265418.91,291960.801,321156.8811,353272.5692,388599.8261
265418.91,291960.801,321156.8811,353272.5692,388599.8261
265418.91,291960.801,321156.8811,353272.5692,388599.8261
265418.91,291960.801,321156.8811,353272.5692,388599.8261
265418.91,291960.801,321156.8811,353272.5692,388599.8261
265418.91,291960.801,321156.8811,353272.5692,388599.8261
265418.91,291960.801,321156.8811,353272.5692,388599.8261
265418.91,291960.801,321156.8811,353272.5692,388599.8261
265418.91,291960.801,321156.8811,353272.5692,388599.8261
265418.91,291960.801,321156.8811,353272.5692,388599.8261
265418.91,291960.801,321156.8811,353272.5692,388599.8261
265418.91,291960.801,321156.8811,353272.5692,388599.8261
265418.91,291960.801,321156.8811,353272.5692,388599.8261
265418.91,291960.801,321156.8811,353272.5692,388599.8261
265418.91,291960.801,321156.8811,353272.5692,388599.8261
265418.91,291960.801,321156.8811,353272.5692,388599.8261
265418.91,291960.801,321156.8811,353272.5692,388599.8261
265418.91,291960.801,321156.8811,353272.5692,388599.8261
265418.91,291960.801,321156.8811,353272.5692,388599.8261
265418.91,291960.801,321156.8811,353272.5692,388599.8261
265418.91,291960.801,321156.8811,353272.5692,388599.8261
265418.91,291960.801,321156.8811,353272.5692,388599.8261
265418.91,291960.801,321156.8811,353272.5692,388599.8261
265418.91,291960.801,321156.8811,353272.5692,388599.8261
265418.91,291960.801,321156.8811,353272.5692,388599.8261
265418.91,291960.801,321156.8811,353272.5692,388599.8261
265418.91,291960.801,321156.8811,353272.5692,388599.8261
265418.91,291960.801,321156.8811,353272.5692,388599.8261
265418.91,291960.801,321156.8811,353272.5692,388599.8261
265418.91,291960.801,321156.8811,353272.5692,388599.8261
265418.91,291960.801,321156.8811,353272.5692,388599.8261
265418.91,291960.801,321156.8811,353272.5692,388599.8261
265418.91,291960.801,321156.8811,353272.5692,388599.8261
265418.91,291960.801,321156.8811,353272.5692,388599.8261
265418.91,291960.801,321156.8811,353272.5692,388599.8261
265418.91,291960.801,321156.8811,353272.5692,388599.8261
265418.91,291960.801,321156.8811,353272.5692,388599.8261
265418.91,291960.801,321156.8811,353272.5692,388599.8261
265418.91,291960.801,321156.8811,353272.5692,388599.8261
265418.91,291960.801,321156.8811,353272.5692,388599.8261
265418.91,291960.801,321156.8811,353272.5692,388599.8261
265418.91,291960.801,321156.8811,353272.5692,388599.8261
265418.91,291960.801,321156.8811,353272.5692,388599.8261
265418.91,291960.801,321156.8811,353272.5692,388599.8261
265418.91,291960.801,321156.8811,353272.5692,388599.8261
265418.91,291960.801,321156.8811,353272.5692,388599.8261
265418.91,291960.801,321156.8811,353272.5692,388599.8261
265418.91,291960.801,321156.8811,353272.5692,388599.8261
265418.91,291960.801,321156.8811,353272.5692,388599.8261
265418.91,291960.801,321156.8811,353272.5692,388599.8261
265418.91,291960.801,321156.8811,353272.5692,388599.8261
265418.91,291960.801,321156.8811,353272.5692,388599.8261
265418.91,291960.801,321156.8811,353272.5692,388599.8261
265418.91,291960.801,321156.8811,353272.5692,388599.8261
265418.91,291960.801,321156.8811,353272.5692,388599.8261
265418.91,291960.801,321156.8811,353272.5692,388599.8261
265418.91,291960.801,321156.8811,353272.5692,388599.8261
265418.91,291960.801,321156.8811,353272.5692,388599.8261
265418.91,291960.801,321156.8811,353272.5692,388599.8261
265418.91,291960.801,321156.8811,353272.5692,388599.8261
265418.91,291960.801,321156.8811,353272.5692,388599.8261
265418.91,291960.801,321156.8811,353272.5692,388599.8261
265418.91,291960.801,321156.8811,353272.5692,388599.8261
265418.91,291960.801,321156.8811,353272.5692,388599.8261
265418.91,291960.801,321156.8811,353272.5692,388599.8261
265418.91,291960.801,321156.8811,353272.5692,388599.8261
265418.91,291960.801,321156.8811,353272.5692,388599.8261
265418.91,291960.801,321156.8811,353272.5692,388599.8261
265418.91,291960.801,321156.8811,353272.5692,388599.8261
265418.91,291960.801,321156.8811,353272.5692,388599.8261
265418.91,291960.801,321156.8811,353272.5692,388599.8261
265418.91,291960.801,321156.8811,353272.5692,388599.8261
265418.91,291960.801,321156.8811,353272.5692,388599.8261
265418.91,291960.801,321156.8811,353272.5692,388599.8261
265418.91,291960.801,321156.8811,353272.5692,388599.8261
265418.91,291960.801,321156.8811,353272.5692,388599.8261
265418.91,291960.801,321156.8811,353272.5692,388599.8261
265418.91,291960.801,321156.8811,353272.5692,388599.8261
265418.91,291960.801,321156.8811,353272.5692,388599.8261
265418.91,291960.801,321156.8811,353272.5692,388599.8261
265418.91,291960.801,321156.8811,353272.5692,388599.8261
265418.91,291960.801,321156.8811,353272.5692,388599.8261
265418.91,291960.801,321156.8811,353272.5692,388599.8261
86992.85,95692.135,105261.3485,115787.4834,127366.2317
86992.85,95692.135,105261.3485,115787.4834,127366.2317
86992.85,95692.135,105261.3485,115787.4834,127366.2317
86992.85,95692.135,105261.3485,115787.4834,127366.2317
86992.85,95692.135,105261.3485,115787.4834,127366.2317
86992.85,95692.135,105261.3485,115787.4834,127366.2317
86992.85,95692.135,105261.3485,115787.4834,127366.2317
86992.85,95692.135,105261.3485,115787.4834,127366.2317
86992.85,95692.135,105261.3485,115787.4834,127366.2317
86992.85,95692.135,105261.3485,115787.4834,127366.2317
86992.85,95692.135,105261.3485,115787.4834,127366.2317
86992.85,95692.135,105261.3485,115787.4834,127366.2317
86992.85,95692.135,105261.3485,115787.4834,127366.2317
86992.85,95692.135,105261.3485,115787.4834,127366.2317
86992.85,95692.135,105261.3485,115787.4834,127366.2317
86992.85,95692.135,105261.3485,115787.4834,127366.2317
86992.85,95692.135,105261.3485,115787.4834,127366.2317
86992.85,95692.135,105261.3485,115787.4834,127366.2317
86992.85,95692.135,105261.3485,115787.4834,127366.2317
86992.85,95692.135,105261.3485,115787.4834,127366.2317
86992.85,95692.135,105261.3485,115787.4834,127366.2317
86992.85,95692.135,105261.3485,115787.4834,127366.2317
86992.85,95692.135,105261.3485,115787.4834,127366.2317
86992.85,95692.135,105261.3485,115787.4834,127366.2317
86992.85,95692.135,105261.3485,115787.4834,127366.2317
86992.85,95692.135,105261.3485,115787.4834,127366.2317
86992.85,95692.135,105261.3485,115787.4834,127366.2317
86992.85,95692.135,105261.3485,115787.4834,127366.2317
86992.85,95692.135,105261.3485,115787.4834,127366.2317
86992.85,95692.135,105261.3485,115787.4834,127366.2317
86992.85,95692.135,105261.3485,115787.4834,127366.2317
86992.85,95692.135,105261.3485,115787.4834,127366.2317
86992.85,95692.135,105261.3485,115787.4834,127366.2317
86992.85,95692.135,105261.3485,115787.4834,127366.2317
86992.85,95692.135,105261.3485,115787.4834,127366.2317
86992.85,95692.135,105261.3485,115787.4834,127366.2317
86992.85,95692.135,105261.3485,115787.4834,127366.2317
86992.85,95692.135,105261.3485,115787.4834,127366.2317
86992.85,95692.135,105261.3485,115787.4834,127366.2317
86992.85,95692.135,105261.3485,115787.4834,127366.2317
86992.85,95692.135,105261.3485,115787.4834,127366.2317
86992.85,95692.135,105261.3485,115787.4834,127366.2317
86992.85,95692.135,105261.3485,115787.4834,127366.2317
86992.85,95692.135,105261.3485,115787.4834,127366.2317
86992.85,95692.135,105261.3485,115787.4834,127366.2317
86992.85,95692.135,105261.3485,115787.4834,127366.2317
86992.85,95692.135,105261.3485,115787.4834,127366.2317
86992.85,95692.135,105261.3485,115787.4834,127366.2317
86992.85,95692.135,105261.3485,115787.4834,127366.2317
86992.85,95692.135,105261.3485,115787.4834,127366.2317
86992.85,95692.135,105261.3485,115787.4834,127366.2317
86992.85,95692.135,105261.3485,115787.4834,127366.2317
86992.85,95692.135,105261.3485,115787.4834,127366.2317
86992.85,95692.135,105261.3485,115787.4834,127366.2317
86992.85,95692.135,105261.3485,115787.4834,127366.2317
86992.85,95692.135,105261.3485,115787.4834,127366.2317
86992.85,95692.135,105261.3485,115787.4834,127366.2317
86992.85,95692.135,105261.3485,115787.4834,127366.2317
86992.85,95692.135,105261.3485,115787.4834,127366.2317
86992.85,95692.135,105261.3485,115787.4834,127366.2317
86992.85,95692.135,105261.3485,115787.4834,127366.2317
86992.85,95692.135,105261.3485,115787.4834,127366.2317
86992.85,95692.135,105261.3485,115787.4834,127366.2317
86992.85,95692.135,105261.3485,115787.4834,127366.2317
86992.85,95692.135,105261.3485,115787.4834,127366.2317
86992.85,95692.135,105261.3485,115787.4834,127366.2317
86992.85,95692.135,105261.3485,115787.4834,127366.2317
86992.85,95692.135,105261.3485,115787.4834,127366.2317
86992.85,95692.135,105261.3485,115787.4834,127366.2317
86992.85,95692.135,105261.3485,115787.4834,127366.2317
86992.85,95692.135,105261.3485,115787.4834,127366.2317
86992.85,95692.135,105261.3485,115787.4834,127366.2317
