FILING_SEQ_NO,AGE,AGEGRP,SALARIES,INCOME_HP,PRFT_GAIN_BP_OTHR_SPECLTV_BUS,PRFT_GAIN_BP_SPECLTV_BUS,PRFT_GAIN_BP_SPCFD_BUS,PRFT_GAIN_BP_INC_115BBF,TOTAL_PROFTS_GAINS_BP,SHORT_TERM_15PER,SHORT_TERM_30PER,SHORT_TERM_APPRATE,TOTAL_SCTG,LONG_TERM_10PER,LONG_TERM_20PER,TOTAL_LTCG,TOTAL_CAP_GAIN,INCOME_OS_NOT_RACEHORSE,INC_CHARBLE_SPL_RATE,INCOME_OS_RACEHORSE,TOTAL_INCOME_OS,TOTAL_INCOME_ALL,CYL_SET_OFF,BAL_AFTR_CYL_SET_OFF,BFL_SET_OFF_BALANCE,GROSS_TOTAL_INCOME,INC_CHG_TAX_SPL_RATES,DEDUCT_SEC_10A_OR_10AA,PARTB_CHAPTER_VIA,PARTC_CHAPTER_VIA,TI.TOTAL_DEDUC_VIA,TOTAL_INCOME,INC_SPL_111A_112,NET_AGRC_INCOME,AGGREGATE_INCOME,CY_LOSS_CARRYFWD,TAX_PAYBLE_TI_SEC115JC,SURCHARGE_ON_DEEMED_TI,EDUCATION_CESS,TOTAL_TAX_PAYBL_SEC115JC,TAX_NORMAL_RATE,TAX_SI_RATE,REBATE_AGRC_INCOME,TAX_PAYABL_TOT_INCOM,REBATE_87A,TAX_PAYABLE_ON_REBATE,SURCHARGE_25OFSI,SURCHARGE_ON_ABOVE_CRORE,TOTAL_SURCHARGE,EDUCATION_CESS.1,GROSS_TAX_LIABILITY,GROSS_TAX_PAYABLE,CRDEDIT_US115JD_EY,TAX_PAYBLE_AFTR_CRDT_SEC115JD,RELIEF_89,RELIEF_90,RELIEF_91,TOTAL_RELIEF,NET_TAX_LIABILTY,INT_PAYABLE_234A,INT_PAYABLE_234B,INT_PAYABLE_234C,TOTAL_INT_PAYABLE,AGGREGATE_LIABILTY,ADVANCE_TAX,TOTAL_TDS,TOTAL_TCS,SELF_ASSESMNT_TAX,TOTAL_TAX_PAID,TAX_PAYBL,REFUND_AMOUNT,Unnamed: 70
266092444,31.98089403,0,0,0,1470659,0,0,0,1470659,0,0,0,0,0,0,0,0,0,0,0,0,1470659,120000,1350659,0,1350659,0,0,180000,0,180000,1170660,0,0,1170660,0,0,0,5136,0,171198,0,0,171198,0,171198,0,0,0,5136,176334,176334,0,176334,,,,,176334,0,818,4127,4945,181279,0,94497,0,0,94497,86780,0,
266128710,63.36738809,1,0,184800,317337,0,0,0,317337,0,0,0,0,0,0,0,0,132347,0,0,132347,634484,0,634484,0,634484,0,0,160000,0,160000,474480,0,0,474480,0,0,0,523,0,22448,0,0,22448,5000,17448,0,0,0,523,17971,17971,0,17971,,,,,17971,0,179,0,179,18150,0,0,0,18150,18150,0,0,
266137755,58.4026915,0,369600,0,840000,0,0,0,840000,0,0,0,0,0,0,0,0,38471,0,0,38471,1248071,0,1248071,0,1248071,0,0,160000,0,160000,1088070,0,0,1088070,0,0,0,4543,0,151421,0,0,151421,0,151421,0,0,0,4543,155964,155964,0,155964,0,0,0,0,155964,0,0,4747,4747,160711,97080,61951,0,1680,160711,0,0,
266483488,25.29460182,0,0,0,274342,0,0,0,274342,0,0,0,0,0,0,0,0,0,0,0,0,274342,0,274342,0,274342,0,0,0,0,0,274340,0,0,274340,0,0,0,0,0,2434,0,0,2434,2434,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,
266547453,55.11555945,0,114500,0,354630,0,0,0,354630,0,0,0,0,0,0,0,0,0,0,0,0,469130,0,469130,0,469130,0,0,140000,0,140000,329130,0,0,329130,0,0,0,87,0,7913,0,0,7913,5000,2913,0,0,0,87,3000,3000,0,3000,,,,,3000,0,0,0,0,3000,0,0,11269,0,11269,0,8270,
266582727,87.43063656,2,0,0,498797,0,0,0,498797,0,0,0,0,0,0,0,0,0,0,0,0,498797,0,498797,0,498797,0,0,152290,0,152290,346510,0,0,346510,0,0,0,140,0,9651,0,0,9651,5000,4651,0,0,0,140,4791,4791,0,4791,0,0,0,0,4791,0,0,0,0,4791,0,0,0,4791,4791,0,0,
266588057,49.32305017,0,0,0,228840,0,0,0,228840,0,0,0,0,0,0,0,0,0,0,0,0,228840,0,228840,0,228840,0,0,0,0,0,228840,0,398800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
266601810,53.4939941,0,0,0,530091,0,0,0,530091,0,0,0,0,0,0,0,0,353,0,0,353,530444,46707,483737,0,483737,0,0,105682,0,105682,378060,0,0,378060,0,0,0,84,0,7806,0,0,7806,5000,2806,0,0,0,84,2890,2890,0,2890,0,0,0,0,2890,0,0,0,0,2890,0,0,0,2890,2890,0,0,
266729149,75.92355786,1,0,0,356170,0,0,0,356170,0,0,0,0,0,0,0,0,6411,0,0,6411,362581,0,362581,0,362581,0,0,6411,0,6411,356170,0,0,356170,0,0,0,169,0,10617,0,0,10617,5000,5617,0,0,0,169,5786,5786,0,5786,,,,,5786,0,0,0,0,5786,0,0,0,5786,5786,0,0,
266772587,73.10207688,1,120198,0,185500,0,0,0,185500,0,0,0,0,0,0,0,0,15239,0,0,15239,320937,0,320937,0,320937,0,0,10000,0,10000,310940,0,0,310940,0,0,0,33,0,6094,0,0,6094,5000,1094,0,0,0,33,1127,1127,0,1127,,,,,1127,0,0,0,0,1127,0,0,0,1127,1127,0,0,
266820778,97.57958284,2,0,0,305337,0,0,0,305337,0,0,0,0,0,0,0,0,0,0,0,0,305337,0,305337,0,305337,0,0,0,0,0,305340,0,0,305340,0,0,0,16,0,5534,0,0,5534,5000,534,0,0,0,16,550,550,0,550,,,,,550,0,0,0,0,550,1000,0,0,0,1000,0,450,
266831688,72.4862131,1,0,0,361753,0,0,0,361753,0,0,0,0,0,0,0,0,0,0,0,0,361753,0,361753,0,361753,0,0,62285,0,62285,299470,0,0,299470,0,0,0,0,0,4947,0,0,4947,4947,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
266901543,87.60690654,2,0,0,386237,0,0,0,386237,0,0,0,0,0,0,0,0,11002,0,0,11002,397239,0,397239,0,397239,0,0,73282,0,73282,323960,0,159110,483070,0,0,0,72,0,23307,0,15911,7396,5000,2396,0,0,0,72,2468,2468,0,2468,,,,,2468,0,0,0,0,2468,0,0,0,2468,2468,0,0,
266915154,28.85951434,0,0,0,315477,0,0,0,315477,0,0,0,0,0,0,0,0,460,0,0,460,315937,0,315937,0,315937,0,0,42875,0,42875,273060,0,0,273060,0,0,0,0,0,2306,0,0,2306,2306,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,
266915653,60.79155196,1,0,0,527098,0,0,0,527098,0,0,0,0,0,0,0,0,3247,0,0,3247,530345,0,530345,0,530345,0,0,153247,0,153247,377100,0,0,377100,0,0,0,231,0,12710,0,0,12710,5000,7710,0,0,0,231,7941,7941,0,7941,,,,,7941,0,0,0,0,7941,0,0,0,7940,7940,0,0,
266922880,23.02745942,0,0,0,233142,0,0,0,233142,0,0,0,0,0,0,0,0,591,0,0,591,233733,0,233733,0,233733,0,0,591,0,591,233140,0,0,233140,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,
