FILING_SEQ_NO,AGE,AGEGRP,FORM_ID,ASSESSMENT_YEAR,SALARIES,INCOME_HP,PRFT_GAIN_BP_OTHR_SPECLTV_BUS,PRFT_GAIN_BP_SPECLTV_BUS,PRFT_GAIN_BP_SPCFD_BUS,PRFT_GAIN_BP_INC_115BBF,TOTAL_PROFTS_GAINS_BP,ST_CG_AMT_1,ST_CG_AMT_2,ST_CG_AMT_APPRATE,TOTAL_SCTG,LT_CG_AMT_1,LT_CG_AMT_2,TOTAL_LTCG,TOTAL_CAP_GAIN,INCOME_OS_NOT_RACEHORSE,INC_CHARBLE_SPL_RATE,INCOME_OS_RACEHORSE,TOTAL_INCOME_OS,GTI_BEFORE_LOSSES,CYL_SET_OFF,BAL_AFTR_CYL_SET_OFF,BFL_SET_OFF_BALANCE,GROSS_TOTAL_INCOME,INC_CHG_TAX_SPL_RATES,DEDUCT_SEC_10A_OR_10AA,PARTB_CHAPTER_VIA,PARTC_CHAPTER_VIA,TOTAL_DEDUC_VIA,TOTAL_INCOME,INC_SPL_111A_112,NET_AGRC_INCOME,AGGREGATE_INCOME,CY_LOSS_CARRYFWD,TAX_PAYBLE_TI_SEC115JC,SURCHARGE_ON_DEEMED_TI,EDUCATION_CESS_SEC115JC,TOTAL_TAX_PAYBL_SEC115JC,TAX_NORMAL_RATE,TAX_SI_RATE,REBATE_AGRC_INCOME,TAX_PAYABL_TOT_INCOM,REBATE_87A,TAX_PAYABLE_ON_REBATE,SURCHARGE_25OFSI,SURCHARGE_ON_ABOVE_CRORE,TOTAL_SURCHARGE,EDUCATION_CESS,GROSS_TAX_LIABILITY,GROSS_TAX_PAYABLE,CRDEDIT_US115JD_EY,TAX_PAYBLE_AFTR_CRDT_SEC115JD,RELIEF_89,RELIEF_90,RELIEF_91,TOTAL_RELIEF,NET_TAX_LIABILTY,INT_PAYABLE_234A,INT_PAYABLE_234B,INT_PAYABLE_234C,TOTAL_INT_PAYABLE,AGGREGATE_LIABILTY,ADVANCE_TAX,TOTAL_TDS,TOTAL_TCS,SELF_ASSESMNT_TAX,TOTAL_TAX_PAID,TAX_PAYBL,REFUND_AMOUNT,position,decile_group
289774652,56,0,ITR-1,2017,1758201,-96000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,164971,1827172,0,0,0,1827172,0,0,0,0,200000,1627170,0,0,0,0,0,0,0,0,313151,0,0,313151,0,313151,0,0,0,9395,322546,322546,0,0,0,0,0,0,322546,0,2044,2578,4622,327168,0,271382,0,0,271382,55790,0,220548,10
301727064,42,0,ITR-2,2017,312538,0,0,0,0,0,0,2185,0,0,2185,0,79471,79471,81656,61317,0,0,61317,455511,0,455511,0,455511,52921,0,0,0,152590,302920,81656,0,0,0,0,0,0,0,0,10475,0,10475,5000,5475,0,0,0,165,5640,0,0,0,0,0,0,0,5640,0,0,0,0,5640,5000,1858,0,0,6858,0,1220,78937,7
281628487,59,0,ITR-1,2017,1093997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49003,1143000,0,0,0,1143000,0,0,0,0,155704,987300,0,0,0,0,0,0,0,0,122462,0,0,122462,0,122462,0,0,0,3674,126136,126136,0,0,0,0,0,0,126136,0,0,0,0,126136,0,121986,0,4150,126136,0,0,183592,10
302902803,40,0,ITR-1,2017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,292262,292262,0,0,0,292262,0,0,0,0,0,292260,0,0,0,0,0,0,0,0,4226,0,0,4226,4226,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10144,0,0,10144,0,10140,20481,3
314509503,50,0,ITR-1,2017,312611,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,312611,0,0,0,312611,0,0,0,0,26796,285820,0,0,0,0,0,0,0,0,3582,0,0,3582,3582,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33394,4
278493843,48,0,ITR-1,2017,596895,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,596895,0,0,0,596895,0,0,0,0,225000,371900,0,0,0,0,0,0,0,0,12190,0,0,12190,5000,7190,0,0,0,216,7406,7406,0,0,0,0,0,0,7406,0,0,0,0,7406,0,15550,0,0,15550,0,8140,111397,8
282386699,32,0,ITR-1,2017,178914,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,178914,0,0,0,178914,0,0,0,0,12340,166570,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3457,0,0,3457,0,3460,3612,1
289895628,60,1,ITR-1,2017,539758,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27330,567088,0,0,0,567088,0,0,0,0,150000,417090,0,0,0,0,0,0,0,0,11709,0,0,11709,5000,6709,0,0,0,201,6910,6910,0,0,0,0,0,0,6910,0,0,0,0,6910,9246,2733,0,0,11979,0,5070,105638,8
290523828,39,0,ITR-4,2017,0,0,0,0,0,0,288530,0,0,0,0,0,0,0,0,0,0,0,1585,290115,0,0,0,290115,0,0,0,0,1585,288530,0,0,0,0,0,0,0,0,3853,0,0,3853,3853,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19338,3
290305922,61,1,ITR-3,2017,0,0,777831,0,0,0,777831,0,0,0,0,0,0,0,0,3650,0,0,3650,781481,0,781481,0,781481,0,0,145960,0,145960,635520,0,0,635520,0,0,0,0,0,47104,0,0,47104,0,47104,0,0,0,1413,48517,48517,0,48517,0,0,0,0,48517,0,540,135,675,49192,35000,0,0,15000,50000,0,810,141380,9
288787709,58,0,ITR-1,2017,3999087,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,586834,4585921,0,0,0,4585921,0,0,0,0,162506,4423420,0,0,0,0,0,0,0,0,1152026,0,0,1152026,0,1152026,0,0,0,34561,1186587,1186587,0,0,0,0,0,0,1186587,0,4868,6140,11008,1197595,0,1064830,0,132765,1197595,0,0,242234,10
289785642,56,0,ITR-3,2017,0,148627,695246,0,0,0,695246,0,0,0,0,0,0,0,0,1892,0,0,1892,845765,0,845765,0,845765,0,0,36958,0,36958,808810,0,0,808810,0,0,0,0,0,86762,0,0,86762,0,86762,0,0,0,2603,89365,89365,0,89365,0,0,0,0,89365,0,0,2118,2118,91483,100000,0,0,0,100000,0,8520,148534,9
279422984,62,1,ITR-1,2017,336035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,115934,451969,0,0,0,451969,0,0,0,0,28088,423880,0,0,0,0,0,0,0,0,12388,0,0,12388,5000,7388,0,0,0,222,7610,7610,0,0,0,0,0,0,7610,0,0,0,0,7610,0,1989,0,5620,7609,0,0,77733,7
315767377,29,0,ITR-2,2017,2397500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1513,0,0,1513,2399013,200000,2199013,0,2199013,0,0,0,0,151513,2047500,0,0,2047500,0,0,0,0,0,439250,0,0,439250,0,439250,0,0,0,13178,452428,0,0,0,0,0,0,0,452428,0,0,0,0,452428,0,499550,0,0,499550,0,47120,228240,10
310213628,52,0,ITR-3,2017,0,0,909717,0,0,0,909717,0,0,0,0,0,0,0,0,13345,0,0,13345,923062,0,923062,0,923062,0,0,243122,0,243122,679940,0,0,679940,131260,0,0,0,0,60988,0,0,60988,0,60988,0,0,0,1830,62818,62818,0,62818,0,0,0,0,62818,0,528,330,858,63676,50000,6170,0,7510,63680,0,0,155371,9
305504355,28,0,ITR-3,2017,0,0,667954,0,0,0,667954,0,0,0,0,0,0,0,0,7436,0,0,7436,675390,128443,546947,0,546947,0,0,90797,0,90797,456150,0,0,456150,0,0,0,0,0,20615,0,0,20615,5000,15615,0,0,0,468,16083,16083,0,16083,0,0,0,0,16083,480,960,808,2248,18331,0,0,0,18340,18340,0,10,101349,8
