,FILING_SEQ_NO,ASSESSMENT_YEAR,FORM_ID,GENDER,RES_STATUS,SALARIES,INCOME_HP,PRFT_GAIN_BP_OTHR_SPECLTV_BUS,PRFT_GAIN_BP_SPECLTV_BUS,PRFT_GAIN_BP_SPCFD_BUS,PRFT_GAIN_BP_INC_115BBF,TOTAL_PROFTS_GAINS_BP,ST_CG_AMT_1,ST_CG_AMT_2,LTCG_INDEXATION,ST_CG_AMT_APPRATE,LTCG_NO_INDEXATION,TOTAL_SCTG,LT_CG_AMT_1,LT_CG_AMT_2,TOTAL_LTCG,TOTAL_CAP_GAIN,INCOME_OS_NOT_RACEHORSE,INC_CHARBLE_SPL_RATE,WIN_LOT_PUZ,INCOME_OS_RACEHORSE,TOTAL_INCOME_OS,GTI_BEFORE_LOSSES,CYL_SET_OFF,BAL_AFTR_CYL_SET_OFF,BFL_SET_OFF_BALANCE,GROSS_TOTAL_INCOME,INC_CHG_TAX_SPL_RATES,DEDUCT_SEC_10A_OR_10AA,PARTB_CHAPTER_VIA,PARTC_CHAPTER_VIA,TOTAL_DEDUC_VIA,TOTAL_INCOME,INC_SPL_111A_112,NET_AGRC_INCOME,AGGREGATE_INCOME,CY_LOSS_CARRYFWD,TAX_PAYBLE_TI_SEC115JC,SURCHARGE_ON_DEEMED_TI,EDUCATION_CESS_SEC115JC,TOTAL_TAX_PAYBL_SEC115JC,TAX_NORMAL_RATE,TAX_SI_RATE,REBATE_AGRC_INCOME,TAX_PAYABL_TOT_INCOM,REBATE_87A,TAX_PAYABLE_ON_REBATE,SURCHARGE_25OFSI,SURCHARGE_ON_ABOVE_CRORE,TOTAL_SURCHARGE,REBATE,BALANCE_TAX_PAYABLE,EDUCATION_CESS,GROSS_TAX_LIABILITY,GROSS_TAX_PAYABLE,CRDEDIT_US115JD_EY,TAX_PAYBLE_AFTR_CRDT_SEC115JD,RELIEF_89,RELIEF_90,RELIEF_91,TOTAL_RELIEF,NET_TAX_LIABILTY,INT_PAYABLE_234A,INT_PAYABLE_234B,INT_PAYABLE_234C,TOTAL_INT_PAYABLE,AGGREGATE_LIABILTY,ADVANCE_TAX,TOTAL_TDS,TOTAL_TCS,SELF_ASSESMNT_TAX,TOTAL_TAX_PAID,TAX_PAYBL,REFUND_AMOUNT,AGE,EDUCATION_CESS_115JC,AGEGRP
0,328228799,2017,ITR-1,M,RES,1744592.1,-36381,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1708211,0,0,0,1708211,0,0,0,0,151298,1556910,0,0,0,0,0,0,0,0,292073,0,0,292073,0,292073,0,0,0,0,0,8762,300835,300835,0,0,0,0,0,0,300835,0,0,0,0,300835,0,300838,0,0,300838,0,0,50,0,0
1,327959593,2017,ITR-1,F,RES,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,187228,187228,0,0,0,187228,0,0,0,0,3824,183400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1215,0,0,1215,0,1220,70,0,1
2,316543975,2017,ITR-1,F,RES,639667.1,-108000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,117830,649497,0,0,0,649497,0,0,0,0,150000,499500,0,0,0,0,0,0,0,0,24950,0,0,24950,5000,19950,0,0,0,0,0,599,20549,20549,0,0,0,0,0,0,20549,0,0,0,0,20549,0,21894,0,0,21894,0,1350,37,0,0
3,342873687,2017,ITR-1,F,RES,429920.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29351,459271,0,0,0,459271,0,0,0,0,160466,298810,0,0,0,0,0,0,0,0,4881,0,0,4881,4881,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4135,0,0,4135,0,4140,29,0,0
4,334803654,2017,ITR-1,M,RES,333500.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5230,338730,0,0,0,338730,0,0,0,0,44030,294700,0,0,0,0,0,0,0,0,4470,0,0,4470,4470,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,0,0
5,280077364,2017,ITR-1,F,RES,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,248348,248348,0,0,0,248348,0,0,0,0,848,247500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0,0
6,304172877,2017,ITR-1,M,RES,775402.1,-60128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,715274,0,0,0,715274,0,0,0,0,150000,565270,0,0,0,0,0,0,0,0,38054,0,0,38054,0,38054,0,0,0,0,0,1142,39196,39196,0,0,0,0,0,0,39196,0,0,0,0,39196,0,51583,0,0,51583,0,12390,47,0,0
7,300871989,2017,ITR-1,M,RES,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,418019,418019,0,0,0,418019,0,0,0,0,91611,326410,0,0,0,0,0,0,0,0,7641,0,0,7641,5000,2641,0,0,0,0,0,79,2720,2720,0,0,0,0,0,0,2720,0,0,0,0,2720,0,24768,0,0,24768,0,22050,35,0,0
8,282796067,2017,ITR-1,M,RES,438576.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,438576,0,0,0,438576,0,0,0,0,80430,358150,0,0,0,0,0,0,0,0,10815,0,0,10815,5000,5815,0,0,0,0,0,174,5989,5989,0,0,0,0,0,0,5989,0,0,0,0,5989,0,38670,0,0,38670,0,32680,35,0,0
9,287261011,2017,ITR-1,M,RES,939596.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51185,990781,0,0,0,990781,0,0,0,0,165000,825780,0,0,0,0,0,0,0,0,90156,0,0,90156,0,90156,0,0,0,0,0,2705,92861,92861,0,0,0,0,0,0,92861,0,0,0,0,92861,0,89496,0,3370,92866,0,10,34,0,0
10,299001469,2017,ITR-1,M,RES,702532.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2589,705121,0,0,0,705121,0,0,0,0,74693,630430,0,0,0,0,0,0,0,0,51086,0,0,51086,0,51086,0,0,0,0,0,1533,52619,52619,0,0,0,0,0,0,52619,0,0,0,0,52619,0,52620,0,0,52620,0,0,35,0,0
